what,kind,bundleId,bundleVersion,description,time
opened,view,ccw.core,0.0.42,"ccw.view.namespacebrowser",1260307531214
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307531325
error,log,,,"Unhandled event loop exception during blocked modal context.",1260307531541
error,log,,,"Unhandled event loop exception during blocked modal context.",1260307531544
error,log,,,"Unhandled event loop exception during blocked modal context.",1260307531561
error,log,,,"Unhandled event loop exception during blocked modal context.",1260307531620
error,log,,,"An internal error occurred during: ""Namespace browser tree refresh"".",1260307531998
stopped,bundle,org.eclipse.jsch.ui,1.1.200.I20090430-0408,"org.eclipse.jsch.ui",1260307532041
stopped,bundle,org.eclipse.team.cvs.ssh2,3.2.200.I20090508-2000,"org.eclipse.team.cvs.ssh2",1260307532042
stopped,bundle,org.eclipse.team.cvs.ssh,3.2.100.I20090508-2000,"org.eclipse.team.cvs.ssh",1260307532043
stopped,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1260307532043
stopped,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1260307532043
stopped,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1260307532043
stopped,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1260307532092
stopped,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1260307532092
stopped,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1260307532093
stopped,bundle,org.eclipse.tptp.test.tools.junit.plugin,4.5.0.v200905160100,"org.eclipse.tptp.test.tools.junit.plugin",1260307532093
stopped,bundle,org.eclipse.hyades.test.tools.ui,4.6.1.v200908220100,"org.eclipse.hyades.test.tools.ui",1260307532106
stopped,bundle,org.eclipse.hyades.test.ui.extensions,4.5.1.v200908220100,"org.eclipse.hyades.test.ui.extensions",1260307532106
stopped,bundle,org.eclipse.tptp.test.recorders.url,4.6.1.v200908220100,"org.eclipse.tptp.test.recorders.url",1260307532106
stopped,bundle,org.eclipse.tptp.test.samples,4.3.1.v200908220100,"org.eclipse.tptp.test.samples",1260307532107
stopped,bundle,org.eclipse.hyades.test.ui,4.2.701.v200909040100,"org.eclipse.hyades.test.ui",1260307532108
stopped,bundle,org.eclipse.tptp.trace.arm.ui,4.3.300.v200908220100,"org.eclipse.tptp.trace.arm.ui",1260307532108
stopped,bundle,org.eclipse.tptp.platform.instrumentation.ui,4.3.200.v200905160100,"org.eclipse.tptp.platform.instrumentation.ui",1260307532108
stopped,bundle,org.eclipse.tptp.platform.profile.server.wst,4.3.300.v200905160100,"org.eclipse.tptp.platform.profile.server.wst",1260307532109
