what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.hyades.probekit.ui,4.1.500.v200905160100,"org.eclipse.hyades.probekit.ui",1260307532195
stopped,bundle,org.eclipse.hyades.trace.sample,4.1.400.v200901090100,"org.eclipse.hyades.trace.sample",1260307532196
stopped,bundle,org.eclipse.tptp.monitoring.examples,4.5.1.v200901090956,"org.eclipse.tptp.monitoring.examples",1260307532196
stopped,bundle,org.eclipse.hyades.ui,4.2.301.v200908220100,"org.eclipse.hyades.ui",1260307532197
stopped,bundle,ccw.debug,1.0.2,"ccw.debug",1260307532217
stopped,bundle,ccw.core,0.0.42,"ccw.core",1260307532217
stopped,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1260307532217
stopped,bundle,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui",1260307532217
stopped,bundle,org.eclipse.wst.xsd.ui,1.2.204.v200909021537,"org.eclipse.wst.xsd.ui",1260307532220
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.400.v200904300717,"org.eclipse.wst.dtd.ui",1260307532221
stopped,bundle,org.eclipse.wst.xml.ui,1.1.1.v200908242115,"org.eclipse.wst.xml.ui",1260307532222
stopped,bundle,org.eclipse.wst.common.ui,1.1.402.v200901262305,"org.eclipse.wst.common.ui",1260307532223
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.bugzilla.ui",1260307532223
stopped,bundle,org.eclipse.mylyn.ide.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ui",1260307532224
stopped,bundle,org.eclipse.mylyn.team.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.team.ui",1260307532224
stopped,bundle,org.eclipse.mylyn.resources.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.resources.ui",1260307532224
stopped,bundle,org.eclipse.mylyn.wikitext.tasks.ui,1.2.0.v20091015-0500-e3x,"org.eclipse.mylyn.wikitext.tasks.ui",1260307532225
stopped,bundle,org.eclipse.mylyn.context.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.context.ui",1260307532225
stopped,bundle,org.eclipse.mylyn.help.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.help.ui",1260307532226
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.bugs",1260307532227
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.tasks.ui",1260307532227
stopped,bundle,org.eclipse.wst.sse.ui,1.1.101.v200908261807,"org.eclipse.wst.sse.ui",1260307532230
stopped,bundle,org.eclipse.search,3.5.1.r351_v20090708-0800,"org.eclipse.search",1260307532230
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1260307532230
stopped,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1260307532230
