what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.net,1.2.1.r35x_20090812-1200,"org.eclipse.ui.net",1260307214392
started,bundle,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views",1260307214392
started,bundle,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"org.eclipse.ui.workbench",1260307214406
os,sysinfo,,,"macosx",1260307214409
arch,sysinfo,,,"x86",1260307214410
ws,sysinfo,,,"cocoa",1260307214410
locale,sysinfo,,,"en_US",1260307214410
processors,sysinfo,,,"2",1260307214410
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1260307214410
java.runtime.version,sysinfo,,,"1.5.0_20-b02-315",1260307214410
java.specification.name,sysinfo,,,"Java Platform API Specification",1260307214410
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260307214410
java.specification.version,sysinfo,,,"1.5",1260307214410
java.vendor,sysinfo,,,"Apple Inc.",1260307214410
java.version,sysinfo,,,"1.5.0_20",1260307214410
java.vm.info,sysinfo,,,"mixed mode",1260307214410
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1260307214410
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1260307214410
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1260307214410
java.vm.specification.version,sysinfo,,,"1.0",1260307214410
java.vm.vendor,sysinfo,,,"Apple Inc.",1260307214410
java.vm.version,sysinfo,,,"1.5.0_20-141",1260307214410
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1260307224111
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1260307224140
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1260307224154
