what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.tptp.platform.profile.server.core,4.2.102.v200901090100,"org.eclipse.tptp.platform.profile.server.core",1260307532110
stopped,bundle,org.eclipse.tptp.platform.jvmti.client,4.4.300.v200906041936,"org.eclipse.tptp.platform.jvmti.client",1260307532112
stopped,bundle,org.eclipse.tptp.platform.integration.pde,4.4.200.v200906191311,"org.eclipse.tptp.platform.integration.pde",1260307532112
stopped,bundle,org.eclipse.pde.ui,3.5.0.v20090821,"org.eclipse.pde.ui",1260307532112
stopped,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1260307532114
stopped,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1260307532121
stopped,bundle,org.eclipse.epp.usagedata.ui,1.1.0.R200906100410,"org.eclipse.epp.usagedata.ui",1260307532124
stopped,bundle,org.eclipse.tptp.platform.welcome,4.5.2.v200901090100,"org.eclipse.tptp.platform.welcome",1260307532124
stopped,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1260307532124
stopped,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1260307532124
stopped,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1260307532124
stopped,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1260307532151
stopped,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1260307532153
stopped,bundle,org.eclipse.tptp.trace.jvmti.client,4.4.301.v200908220100,"org.eclipse.tptp.trace.jvmti.client",1260307532153
stopped,bundle,org.eclipse.hyades.trace.views,4.1.601.v200908290100,"org.eclipse.hyades.trace.views",1260307532169
stopped,bundle,org.eclipse.tptp.monitoring.managedagent,4.4.200.v200906091631,"org.eclipse.tptp.monitoring.managedagent",1260307532169
stopped,bundle,org.eclipse.tptp.platform.probekit.launch,4.4.200.v200901090100,"org.eclipse.tptp.platform.probekit.launch",1260307532171
stopped,bundle,org.eclipse.tptp.platform.report.birt.ui,4.4.200.v200905160100,"org.eclipse.tptp.platform.report.birt.ui",1260307532172
stopped,bundle,org.eclipse.hyades.trace.ui,4.5.1.v200908290100,"org.eclipse.hyades.trace.ui",1260307532172
stopped,bundle,org.eclipse.mylyn.ide.ant,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.ide.ant",1260307532172
stopped,bundle,org.eclipse.ant.ui,3.4.1.v20090901_r351,"org.eclipse.ant.ui",1260307532173
stopped,bundle,org.eclipse.mylyn.java.tasks,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.tasks",1260307532189
stopped,bundle,org.eclipse.mylyn.java.ui,3.3.0.v20091015-0500-e3x,"org.eclipse.mylyn.java.ui",1260307532190
stopped,bundle,org.eclipse.jdt.junit,3.5.1.r351_v20090708-0800,"org.eclipse.jdt.junit",1260307532192
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.200.v20090528-1135,"org.eclipse.jdt.apt.ui",1260307532192
