what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.hyades.trace.ui,4.5.1.v200908290100,"org.eclipse.hyades.trace.ui",1260307277854
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307295246
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1260307299545
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.100.v20090604,"org.eclipse.ltk.ui.refactoring",1260307299550
started,bundle,org.eclipse.compare,3.5.0.I20090514-0808,"org.eclipse.compare",1260307300176
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307309515
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307339781
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260307339822
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.import",1260307339823
started,bundle,org.eclipse.pde.core,3.5.100.v20090821,"org.eclipse.pde.core",1260307388340
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307390604
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307404859
started,bundle,org.eclipse.core.variables,3.2.200.v20090521,"org.eclipse.core.variables",1260307408789
executed,command,,,"ccw.launching.clojureShortcut.run",1260307408885
error,log,,,"clojure remote call exception",1260307409074
error,log,,,"clojure remote call exception",1260307409075
error,log,,,"clojure remote call exception",1260307409075
error,log,,,"clojure remote call exception",1260307409076
error,log,,,"clojure remote call exception",1260307409077
error,log,,,"clojure remote call exception",1260307409078
error,log,,,"clojure remote call exception",1260307409079
error,log,,,"clojure remote call exception",1260307409081
error,log,,,"clojure remote call exception",1260307409081
error,log,,,"clojure remote call exception",1260307409082
error,log,,,"clojure remote call exception",1260307409082
