what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1260307245314
started,bundle,ccw.clojure,1.1.0.alpha-2098f5d57e,"ccw.clojure",1260307246014
started,bundle,ccw.core,0.0.42,"ccw.core",1260307246128
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1260307246205
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307246256
started,bundle,org.eclipse.debug.ui,3.5.1.v20090811_r351,"org.eclipse.debug.ui",1260307258147
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1260307258291
started,bundle,org.eclipse.jdt.launching.macosx,3.2.0.v20090527,"org.eclipse.jdt.launching.macosx",1260307258331
started,bundle,ccw.clojurecontrib,0.0.0.alpha-cdbfc8de57,"ccw.clojurecontrib",1260307264876
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307266344
started,bundle,org.eclipse.jdt.apt.core,3.3.201.R35x_v20090818-0235,"org.eclipse.jdt.apt.core",1260307266661
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1260307270991
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1260307271168
started,bundle,org.eclipse.hyades.execution,4.4.301.v200908220100,"org.eclipse.hyades.execution",1260307271799
started,bundle,org.eclipse.emf.common,2.5.0.v200906151043,"org.eclipse.emf.common",1260307271944
started,bundle,org.eclipse.emf.ecore,2.5.0.v200906151043,"org.eclipse.emf.ecore",1260307271987
started,bundle,org.eclipse.tptp.platform.models.hierarchy,4.6.1.v200908290100,"org.eclipse.tptp.platform.models.hierarchy",1260307272105
started,bundle,org.eclipse.emf.ecore.xmi,2.5.0.v200906151043,"org.eclipse.emf.ecore.xmi",1260307272187
started,bundle,org.eclipse.tptp.platform.common.ui,4.4.201.v200908250100,"org.eclipse.tptp.platform.common.ui",1260307272742
started,bundle,org.eclipse.tptp.platform.iac.administrator,4.4.301.v200908220100,"org.eclipse.tptp.platform.iac.administrator",1260307272749
error,log,,,"Cannot resolve Platform symbolic name mac os x:i386",1260307272755
error,log,,,"Cannot resolve Platform symbolic name mac os x:i386",1260307272755
error,log,,,"Access to IAC configuration file is denied.",1260307272756
started,bundle,org.eclipse.tptp.platform.common,4.3.301.v200908220100,"org.eclipse.tptp.platform.common",1260307272757
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1260307277807
